id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
218,Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,131.0,"1963, July",1963.0
219,Victory (New Earth),Unknown,Good Characters,Black Eyes,White Hair,Living Characters,130.0,"1941, September",1941.0
220,Sargent Steel (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,130.0,"1964, December",1964.0
221,Robert Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,130.0,"1970, June",1970.0
222,Walter Haley (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,129.0,"1957, February",1957.0
223,Katma Tui (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,129.0,"1964, July",1964.0
224,Charles Victor Szasz (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,128.0,"1967, June",1967.0
225,Ares (New Earth),Public Identity,Bad Characters,Red Eyes,Blond Hair,Living Characters,127.0,"1987, February",1987.0
226,Rip Carter (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,127.0,"1942, June",1942.0
227,Richard Swift (New Earth),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Living Characters,126.0,"1942, September",1942.0
228,Emil Hamilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Living Characters,126.0,"1987, January",1987.0
229,Eradicator (New Earth),Public Identity,Good Characters,Photocellular Eyes,Black Hair,Deceased Characters,126.0,"1989, May",1989.0
230,Frederick Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125.0,"1995, May",1995.0
231,Katar Hol (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125.0,"1989, August",1989.0
232,Richard Occult (New Earth),Secret Identity,Unknown or None,Grey Eyes,Black Hair,Living Characters,125.0,"1935, October",1935.0
233,Dawn Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,124.0,"1988, October",1988.0
234,Maxima (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Deceased Characters,124.0,"1989, September",1989.0
235,Inza Cramer (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,124.0,"1940, May",1940.0
236,Gunner MacKay (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,123.0,"1959, May",1959.0
237,Linda Danvers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,123.0,"1996, September",1996.0
238,Dubbilex (New Earth),Public Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,123.0,"1971, March",1971.0
239,Jack Knight (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,122.0,"1994, September",1994.0
240,Antonia Monetti (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,122.0,"1996, October",1996.0
241,Skeets (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,122.0,"1986, February",1986.0
242,Sarge Clay (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,121.0,"1959, May",1959.0
243,Nimue Inwudu (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,121.0,"1978, February",1978.0
244,Khaji Da (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,121.0,"1964, June",1964.0
245,Elizabeth Lawrence (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,120.0,"1942, December",1942.0
246,Pallas Athena (New Earth),Public Identity,Neutral Characters,Grey Eyes,Brown Hair,Living Characters,118.0,"1958, May",1958.0
247,Terrence Long (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,116.0,"1981, June",1981.0
248,Evan McCulloch (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,116.0,"1989, February",1989.0
249,Crispus Allen (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Deceased Characters,116.0,"2000, March",2000.0
250,Granny Goodness (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,115.0,"1971, June",1971.0
251,Zeus (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,115.0,"1941, December",1941.0
252,Dolphin (New Earth),Unknown,Good Characters,Blue Eyes,Silver Hair,Deceased Characters,115.0,"1968, December",1968.0
253,Strata (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,115.0,"1989, February",1989.0
254,Holly Robinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,114.0,"1987, February",1987.0
255,Martha Kane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,113.0,"1987, February",1987.0
256,John Sargent (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,113.0,"1941, May",1941.0
257,Dian Belmont (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,113.0,"1940, February",1940.0
258,Jason Woodrue (New Earth),Public Identity,Bad Characters,Red Eyes,Green Hair,Living Characters,113.0,"1962, July",1962.0
259,Leslie Thompkins (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,111.0,"1976, March",1976.0
260,Edward Bloomberg (New Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Deceased Characters,111.0,"1984, June",1984.0
261,Tara Markov (Team Titans),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,110.0,1991.0,1991.0
262,Dmitri Pushkin (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,110.0,"1987, February",1987.0
263,June Moone (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,110.0,"1966, April",1966.0
264,Ohiyesa I (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,109.0,"1949, September",1949.0
265,Mia Dearden (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,109.0,"2001, May",2001.0
266,Krypto (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,109.0,"1955, March",1955.0
267,Donald Richards (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,109.0,"1942, March",1942.0
268,Thomas Blake (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,108.0,"1963, January",1963.0
269,Leonid Kovar (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,108.0,"1968, December",1968.0
270,Zauriel (New Earth),Public Identity,Good Characters,Red Eyes,White Hair,Living Characters,108.0,"1997, June",1997.0
271,Emily Briggs (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,107.0,"1985, September",1985.0
272,Lilith Clay (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,107.0,"1970, February",1970.0
273,Hans von Hammer (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,106.0,"1965, February",1965.0
274,Thomas Tresser (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,106.0,"1980, September",1980.0
275,William Polk (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,106.0,"1948, February",1948.0
276,Jervis Tetch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,105.0,"1948, October",1948.0
277,Lyla Michaels (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Deceased Characters,105.0,"1982, July",1982.0
278,Bruce Gordon (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,105.0,"1963, July",1963.0
279,Sugar Plumm (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,105.0,"1956, May",1956.0
280,Aphrodite (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104.0,"1941, December",1941.0
281,Enya Wazzo (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,104.0,"1989, November",1989.0
282,Zinda Blake (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,104.0,"1959, February",1959.0
283,Werner Vertigo (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104.0,"1978, July",1978.0
284,Sapphire Stagg (New Earth),Unknown,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104.0,"1965, January",1965.0
285,Cecil Wilson (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,104.0,"1956, May",1956.0
286,Sarah Essen (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,103.0,"1987, March",1987.0
287,Rip Hunter (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,103.0,"1959, June",1959.0
288,Wing How (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,103.0,"1938, October",1938.0
289,Jade Nguyen (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,103.0,"1983, August",1983.0
290,Jack Drake (New Earth),Unknown,Good Characters,Black Eyes,Brown Hair,Deceased Characters,102.0,"1989, August",1989.0
291,Vril Dox I (New Earth),Secret Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,102.0,"1988, March",1988.0
292,Adolf Hitler (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,101.0,"1942, March",1942.0
293,Grace Choi (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,100.0,"2003, August",2003.0
294,Lawrence Jordan (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,100.0,"1942, February",1942.0
295,Natasha Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,99.0,"1994, February",1994.0
296,Katherine Spencer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,98.0,"2004, October",2004.0
297,Lorraine Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,98.0,"1982, June",1982.0
298,Noah Kuttler (New Earth),Public Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,98.0,"1976, September",1976.0
299,Stealth (New Earth),Secret Identity,Good Characters,Pink Eyes,White Hair,Deceased Characters,98.0,"1989, February",1989.0
300,Jan Haasan (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,98.0,"1942, June",1942.0
301,Despero (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,98.0,"1960, November",1960.0
302,Jeffrey Franklin Burr (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,97.0,"1976, March",1976.0
303,Hippolyta Trevor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,97.0,"1983, February",1983.0
304,Tef\u00e9 Holland (New Earth),Unknown,Bad Characters,Blue Eyes,White Hair,Living Characters,97.0,"1989, December",1989.0
305,Bizarro (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,96.0,"2000, September",2000.0
306,Henry Henshaw (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,96.0,"1990, May",1990.0
307,Charles Dickles (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,96.0,"1941, June",1941.0
308,Dream (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Deceased Characters,95.0,"1989, January",1989.0
309,Black Manta (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95.0,"1967, October",1967.0
310,Felix Faust (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95.0,"1962, March",1962.0
311,Maxine Hunkel (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,95.0,"2007, February",2007.0
312,Wade Eiling (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,95.0,"1987, March",1987.0
313,James Harper (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,94.0,"1942, April",1942.0
314,Virgil Hawkins (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,94.0,"1993, June",1993.0
315,Soranik Natu (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,93.0,"2005, November",2005.0
316,Roman Sionis (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,92.0,"1985, August",1985.0
317,Merlin (New Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Living Characters,92.0,"1936, February",1936.0
318,"Henry King, Jr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Living Characters,92.0,"1983, August",1983.0
319,Abin Sur (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,92.0,"1959, October",1959.0
320,Citizen Abra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,92.0,"1962, May",1962.0
321,Orm Marius (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,92.0,"1966, October",1966.0
322,Anissa Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,92.0,"2003, August",2003.0
323,Jonathan Tane (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,91.0,"1948, August",1948.0
324,Danette Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,91.0,"1981, August",1981.0
325,William Payton (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,91.0,"1988, October",1988.0
326,Hermes (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,90.0,"1959, April",1959.0
327,Ronald Troupe (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,90.0,"1991, July",1991.0
328,William Storm (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,90.0,"1964, June",1964.0
329,Timothy Hunter (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,89.0,"1990, December",1990.0
330,William Zard (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,89.0,"1947, April",1947.0
331,Eobard Thawne (New Earth),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,89.0,"1963, September",1963.0
332,Sandra Wu-San (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,89.0,"1976, January",1976.0
333,Taghurrhu (New Earth),Public Identity,Good Characters,Green Eyes,Orange Hair,Living Characters,89.0,"1981, June",1981.0
334,Bobo T. Chimpanzee (New Earth),Unknown,Unknown or None,Black Eyes,Black Hair,Living Characters,88.0,"1952, August",1952.0
335,Arnold Wesker (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,88.0,"1988, February",1988.0
336,David Clinton (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,88.0,"1962, November",1962.0
337,Philippus (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,88.0,"1987, February",1987.0
338,Miriam Delgado (Team Titans),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,87.0,1991.0,1991.0
339,Peter Ross (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,87.0,"1961, January",1961.0
340,Mikaal Tomas (New Earth),Secret Identity,Good Characters,Blue Eyes,Purple Hair,Living Characters,87.0,"1976, March",1976.0
341,Mister Bones (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,87.0,"1985, July",1985.0
342,Sardath (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,86.0,"1958, December",1958.0
343,Suzanne King-Jones (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,86.0,"1997, August",1997.0
344,Harold Thompson (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,86.0,"1938, June",1938.0
345,Herakles (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,86.0,"1941, December",1941.0
346,Rosabelle Mendez (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,86.0,"1991, February",1991.0
347,Matthew Tyler (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Deceased Characters,86.0,"1997, November",1997.0
348,Congorilla (New Earth),Public Identity,Good Characters,Blue Eyes,Gold Hair,Living Characters,85.0,"1959, January",1959.0
349,Shayera Thal (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,85.0,"1989, August",1989.0
350,Mallah (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,85.0,"1964, March",1964.0
351,Julia Deneiros (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,84.0,"1987, April",1987.0
352,Thomas Elliot (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,84.0,"2003, January",2003.0
353,Greta Hayes (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,84.0,"1998, June",1998.0
354,Jonathan Law (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,84.0,"1941, October",1941.0
355,Etta Candy (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,84.0,"1942, February",1942.0
356,Parallax (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,84.0,"1994, March",1994.0
357,Simon Stagg (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,83.0,"1965, January",1965.0
358,"Rex, the Wonder Dog (New Earth)",Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,83.0,"1952, February",1952.0
359,Thomas Bronson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,83.0,"2007, February",2007.0
360,Karen Beecher (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,83.0,"1976, December",1976.0
361,Ellen Frazier (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,83.0,"1965, September",1965.0
362,Norda Cantrell (New Earth),Secret Identity,Unknown or None,White Eyes,Brown Hair,Living Characters,83.0,"1983, September",1983.0
363,Thomas Monaghan (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,82.0,1993.0,1993.0
364,Hannibal Hawkes (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,82.0,"1948, October",1948.0
365,Terrence Thirteen (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,82.0,"1951, November",1951.0
366,Kalibak (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,82.0,"1971, March",1971.0
367,Drury Walker (New Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Deceased Characters,82.0,"1951, February",1951.0
368,Tomar-Tu (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,82.0,"1990, October",1990.0
369,Isamot Kol (New Earth),Secret Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,82.0,"2005, November",2005.0
370,Baran Flinders (New Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,81.0,"1981, January",1981.0
371,Mark Shaw (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,81.0,"1975, August",1975.0
372,Neal Emerson (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,81.0,"1963, June",1963.0
373,Circe (New Earth),Public Identity,Bad Characters,Red Eyes,Purple Hair,Living Characters,81.0,"1988, August",1988.0
374,Vanessa Kapatelis (New Earth),Unknown,Good Characters,Blue Eyes,Brown Hair,Living Characters,80.0,"1987, April",1987.0
375,Samuel Scudder (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,80.0,"1959, March",1959.0
376,Malcolm Duncan (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,80.0,"1970, April",1970.0
377,Lian Harper (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Deceased Characters,80.0,"1986, June",1986.0
378,Cameron Chase (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,80.0,"1998, January",1998.0
379,John Corben (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,Brown Hair,Living Characters,80.0,"1987, January",1987.0
380,Abigail Hunkel (New Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,79.0,"1939, June",1939.0
381,Sasha Bordeaux (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,79.0,"2000, December",2000.0
382,Valentina Vostok (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,79.0,"1977, September",1977.0
383,Paul Booker (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,79.0,"1966, March",1966.0
385,Cyril Saunders (New Earth),Public Identity,Good Characters,Hazel Eyes,White Hair,Living Characters,79.0,"1937, March",1937.0
386,L-Ron (New Earth),Public Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,79.0,"1988, June",1988.0
387,Rudolph Jones (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,79.0,"1987, April",1987.0
388,Hector Hammond (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,78.0,"1961, April",1961.0
389,Christopher Smith (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,78.0,"1966, November",1966.0
390,Roger Hayden (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,78.0,"1965, June",1965.0
391,Owen Mercer (New Earth),Secret Identity,Reformed Criminals,Blue Eyes,Red Hair,Deceased Characters,78.0,"2004, October",2004.0
392,"Thaddeus Sivana, Sr. (New Earth)",Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,77.0,"1987, April",1987.0
393,Samuel Lane (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Deceased Characters,77.0,"1987, January",1987.0
394,Lashina (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,77.0,"1972, February",1972.0
395,Lorena Marquez (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,77.0,"2004, May",2004.0
396,Joshua Clay (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Deceased Characters,77.0,"1977, September",1977.0
397,Boodikka (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Deceased Characters,77.0,"1992, January",1992.0
398,Brain (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,77.0,"1964, March",1964.0
399,Java (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,76.0,"1965, January",1965.0
400,Adrian Chase (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,76.0,"1982, September",1982.0
401,Curtis Metcalf (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,76.0,"1993, April",1993.0
402,Captain Harding (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,76.0,"1956, February",1956.0
403,Horace Canfield (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,76.0,"1961, April",1961.0
404,Brik (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,76.0,"1991, May",1991.0
405,"Richard Flag, Jr. (New Earth)",Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,75.0,"1959, September",1959.0
406,Sarah Charles (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,75.0,"1985, September",1985.0
407,Helena Sandsmark (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,75.0,"1996, January",1996.0
408,Tomar-Re (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,75.0,"1961, June",1961.0
409,Starro (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,74.0,"1960, March",1960.0
410,Winslow Schott (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,74.0,"1943, September",1943.0
411,Nathaniel Heywood (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,74.0,"2007, March",2007.0
412,Ultra-Humanite (New Earth),Secret Identity,Unknown or None,Red Eyes,White Hair,Living Characters,74.0,"1939, June",1939.0
413,Matthew Cable (New Earth),Secret Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,74.0,"1972, November",1972.0
414,Topo (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,74.0,"1956, October",1956.0
415,Hugh Dawkins (New Earth),Secret Identity,Good Characters,White Eyes,Blond Hair,Living Characters,74.0,"1986, November",1986.0
416,Victor Zsasz (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,73.0,"1992, June",1992.0
417,Kay Challis (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,73.0,"1989, February",1989.0
418,Roland Desmond (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,73.0,"1965, November",1965.0
419,Dane Dorrance (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,73.0,"1960, August",1960.0
420,Flying Cloud (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,73.0,"1960, December",1960.0
421,Carl Sands (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,73.0,"1961, July",1961.0
422,Neron (New Earth),Secret Identity,Bad Characters,White Eyes,Blond Hair,Living Characters,73.0,"1995, November",1995.0
423,Cain (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,72.0,"1968, August",1968.0
424,Steven Trevor (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,72.0,"1941, December",1941.0
425,Garryn Bek (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,72.0,"1989, January",1989.0
426,Jose Delgado (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,72.0,"1987, May",1987.0
427,"Peter Merkel, Jr. (New Earth)",Secret Identity,Bad Characters,Grey Eyes,Red Hair,Living Characters,72.0,"2005, July",2005.0
428,Mogo (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,72.0,"1985, May",1985.0
429,Louise Lincoln (New Earth),Public Identity,Bad Characters,Blue Eyes,Blue Hair,Living Characters,71.0,"1984, March",1984.0
430,Thomas Oscar Morrow (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,71.0,"1964, March",1964.0
431,Brian Savage (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,71.0,"1977, April",1977.0
432,Edgar Cizko (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,71.0,"1991, May",1991.0
433,Amazo (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,71.0,"1960, July",1960.0
434,Kingsley Faraday (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,70.0,"1950, August",1950.0
435,Nabu (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,69.0,"1941, May",1941.0
436,Clifford Zmeck (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,69.0,"1988, February",1988.0
